Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
457;1520719357779;1520719357780
458;1520719358198;1520719358198
459;1520719358584;1520719358584
460;1520719358984;1520719358985
461;1520719359371;1520719359371
462;1520719359752;1520719359752
463;1520719360135;1520719360135
464;1520719360514;1520719360514
465;1520719360898;1520719360898
466;1520719361293;1520719361294
467;1520719361680;1520719361680
468;1520719362062;1520719362063
469;1520719362450;1520719362450
470;1520719362843;1520719362844
471;1520719363233;1520719363233
472;1520719363616;1520719363617
473;1520719364000;1520719364001
474;1520719364391;1520719364391
475;1520719364777;1520719364777
476;1520719365168;1520719365169
477;1520719365555;1520719365555
478;1520719365937;1520719365938
479;1520719366328;1520719366328
480;1520719366711;1520719366711
481;1520719367153;1520719367154
482;1520719367537;1520719367538
483;1520719367915;1520719367915
484;1520719368335;1520719368336
485;1520719368721;1520719368722
486;1520719369096;1520719369096
487;1520719369475;1520719369475
488;1520719369848;1520719369848
489;1520719370229;1520719370229
490;1520719370660;1520719370660
491;1520719371050;1520719371050
492;1520719371419;1520719371420
493;1520719371792;1520719371792
494;1520719372160;1520719372160
495;1520719372537;1520719372537
496;1520719372909;1520719372909
497;1520719373283;1520719373283
498;1520719373653;1520719373653
499;1520719374025;1520719374025
500;1520719374398;1520719374398
501;1520719374766;1520719374766
502;1520719375137;1520719375137
503;1520719375535;1520719375535
504;1520719375911;1520719375911
505;1520719376283;1520719376283
506;1520719376653;1520719376653
507;1520719377023;1520719377023
508;1520719377393;1520719377393
509;1520719377764;1520719377764
510;1520719378135;1520719378135
511;1520719378508;1520719378508
512;1520719378883;1520719378883
513;1520719379253;1520719379253
514;1520719379624;1520719379624
515;1520719379995;1520719379995
516;1520719380372;1520719380373
517;1520719380737;1520719380738
518;1520719381105;1520719381105
519;1520719381472;1520719381472
520;1520719381838;1520719381838
521;1520719382207;1520719382207
522;1520719382581;1520719382581
523;1520719382950;1520719382950
524;1520719383319;1520719383319
525;1520719383688;1520719383688
526;1520719384060;1520719384060
527;1520719384430;1520719384430
528;1520719384798;1520719384799
529;1520719385168;1520719385168
530;1520719385539;1520719385539
531;1520719385906;1520719385907
532;1520719386273;1520719386273
533;1520719386642;1520719386643
534;1520719387010;1520719387010
535;1520719387377;1520719387377
536;1520719387747;1520719387747
537;1520719388119;1520719388119
538;1520719388488;1520719388489
539;1520719388856;1520719388856
540;1520719389223;1520719389223
541;1520719389594;1520719389594
542;1520719389965;1520719389965
543;1520719390334;1520719390335
544;1520719390701;1520719390701
545;1520719391071;1520719391071
546;1520719391443;1520719391443
547;1520719391813;1520719391813
548;1520719392179;1520719392180
549;1520719392551;1520719392551
550;1520719392920;1520719392921
551;1520719393290;1520719393291
552;1520719393658;1520719393659
553;1520719394025;1520719394025
554;1520719394391;1520719394391
555;1520719394759;1520719394760
556;1520719395129;1520719395129
557;1520719395496;1520719395496
558;1520719395867;1520719395867
559;1520719396235;1520719396235
560;1520719396604;1520719396605
561;1520719396973;1520719396973
562;1520719397346;1520719397347
563;1520719397719;1520719397719
564;1520719398100;1520719398100
565;1520719398476;1520719398476
566;1520719398845;1520719398845
567;1520719399213;1520719399213
568;1520719399581;1520719399581
569;1520719399949;1520719399949
570;1520719400315;1520719400315
571;1520719400684;1520719400684
572;1520719401051;1520719401051
573;1520719401418;1520719401418
574;1520719401786;1520719401786
575;1520719402158;1520719402158
576;1520719402530;1520719402530
577;1520719402896;1520719402896
578;1520719403267;1520719403267
579;1520719403638;1520719403638
580;1520719404014;1520719404014
581;1520719404382;1520719404382
582;1520719404749;1520719404749
583;1520719405114;1520719405114
584;1520719405484;1520719405484
585;1520719405867;1520719405867
586;1520719406236;1520719406236
587;1520719406605;1520719406605
588;1520719406973;1520719406974
589;1520719407338;1520719407338
590;1520719407708;1520719407708
591;1520719408076;1520719408076
592;1520719408444;1520719408444
593;1520719408817;1520719408818
594;1520719409185;1520719409185
595;1520719409554;1520719409555
596;1520719409921;1520719409921
597;1520719410292;1520719410292
598;1520719410664;1520719410664
599;1520719411032;1520719411032
600;1520719411399;1520719411399
601;1520719411772;1520719411772
